user,text,hashtags,retweet_count,user_mentions
joelmoralesUNT,RETWEET: #AEstaHora En Milagro Norte con maquinaria pesada y barrido manual llevando Operativo Especial de Limpieza #Navidad2016…,"['#AEstaHora', '#Navidad2016']",9,1
CeTelecoUA,"Y otro artículo más, este es sobre la relación y diferencia del deep learning y el machine learning #Navidad2016  https://t.co/1B9iLkUi0c",['#Navidad2016'],0,0
IacomoMorocoima,RETWEET: Por ordenes USER USER  se hace entrega de regalos en esta #Navidad2016 a los niños y niñas de lamas #Se…,"['#Navidad2016', '#Se']",100,3
yagalito,"Que el niño Dios nos de paz, amor y mucha sabiduría! #Navidad2016  #Navidad #CiadeMaria #CompañiadeMaria… https://t.co/8PhMQIZDnW","['#Navidad2016', '#Navidad', '#CiadeMaria', '#CompañiadeMaria']",0,0
edimomesh,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
Rosport1,Último turno de almuerzo y vamos por los últimos partidos de las fases de grupos #rosport #navidad2016... https://t.co/r7p2abE6Cm,"['#rosport', '#navidad2016...']",0,0
zory716,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
analieeva1,#oxfordstreet está precioso en #Navidad2016 https://t.co/3gOllMStre,"['#oxfordstreet', '#Navidad2016']",0,0
corpocaripe2016,El #Challacazo llego con #CorpoCaripe a la comunidad Rio Colorao #Navidad2016 #Caripe USER USER… https://t.co/tr4kbsahMa,"['#Challacazo', '#CorpoCaripe', '#Navidad2016', '#Caripe']",0,2
LorenTvNovelas,RETWEET: ¡USER quedó enamorada de los ojos de USER y lo quiere para esta #Navidad2016! Esto fue lo que dijo &gt;&gt;https…,['#Navidad2016'],6,3
aPiedeCepa,RETWEET: Feliz Navidad y Feliz camino 2017. USER . #navidad2016 #Valladolid #merrychristmas #music #trumpet https://t.co/Z…,"['#navidad2016', '#Valladolid', '#merrychristmas', '#music', '#trumpet']",0,2
ZPattyF,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
Hilodelibros,"RETWEET: Una familia contradictoria y convulsa / https://t.co/is2H30tXcs
USER 
#EvelynWaugh 
#Navidad2016 https://t.c…","['#EvelynWaugh', '#Navidad2016']",2,2
alexfedor12345,RETWEET: ¡USER quedó enamorada de los ojos de USER y lo quiere para esta #Navidad2016! Esto fue lo que dijo &gt;&gt;https…,['#Navidad2016'],6,3
natacionpntv,RT SoyAspie: Mensaje de FundAspie en #Navidad2016 para todas las madres #tEA del mundo: https://t.co/oU0MAXt69I Etqta: chiqui_delgado,"['#Navidad2016', '#tEA']",0,0
OFSElConvento,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
RhodeaBlason,"RETWEET: ¡Hoy, gratis en #Amazon El silbido de la serpiente!
Una oportunidad de leer en #Navidad2016 una obra impresionante. No t…","['#Amazon', '#Navidad2016']",7,1
albertrokys,Después de estudiar un rataco!! #navidad2016 #hawkers #ucam #happy… https://t.co/NHJTQejO7l,"['#navidad2016', '#hawkers', '#ucam', '#happy']",0,0
TelevisaTVmx,Descubre lo peor que le ha pasado a USER en #Navidad ¡Checa la entrevista con USER! #Navidad2016… https://t.co/oQTWgkN6nV,"['#Navidad', '#Navidad2016']",1,2
UNTStaLucia,RETWEET: #AEstaHora En Milagro Norte con maquinaria pesada y barrido manual llevando Operativo Especial de Limpieza #Navidad2016…,"['#AEstaHora', '#Navidad2016']",9,1
evgenia_y,RETWEET: ¡USER quedó enamorada de los ojos de USER y lo quiere para esta #Navidad2016! Esto fue lo que dijo &gt;&gt;https…,['#Navidad2016'],6,3
karinasilveira6,"RETWEET: #FrasesCelebres, #Frases de #Amor, #Desamor, #Navidad, #Navidad2016, #Humor, #Motivacion y #Reflexion ¡Compártelas! https://…","['#FrasesCelebres', '#Frases', '#Amor', '#Desamor', '#Navidad', '#Navidad2016', '#Humor', '#Motivacion', '#Reflexion']",1,1
pavel43,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
PlanifMaracaibo,RETWEET: #AEstaHora En Milagro Norte con maquinaria pesada y barrido manual llevando Operativo Especial de Limpieza #Navidad2016…,"['#AEstaHora', '#Navidad2016']",9,1
Maria_Nella_Por,RETWEET: #AEstaHora En Milagro Norte con maquinaria pesada y barrido manual llevando Operativo Especial de Limpieza #Navidad2016…,"['#AEstaHora', '#Navidad2016']",9,1
ctdron,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
PedSanchezH,#primas #navidad2016 https://t.co/BDfcf84yCc,"['#primas', '#navidad2016']",0,0
Qwandry,RETWEET: ¿¿Buscas algo que leer esta #Navidad2016 ?? #despuesdelalluvia en #Amazon #KindleUnlimited Puesto 8 de los #librosmasvend…,"['#Navidad2016', '#despuesdelalluvia', '#Amazon', '#KindleUnlimited', '#librosmasvend']",1,1
espejodelmoral,#Spot #Navidad2016 #ManuelEspejo #ME #Decorador #Trump https://t.co/XPYGDoCfaL,"['#Spot', '#Navidad2016', '#ManuelEspejo', '#ME', '#Decorador', '#Trump']",0,0
PedSanchezH,#primos #navidad2016 https://t.co/pOJpIrKYaA,"['#primos', '#navidad2016']",0,0
aidaesperanza,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
puedoescribir,RETWEET: Así se vivió la #Navidad2016 en #Alepo #fotografia https://t.co/I0nxhcvySt,"['#Navidad2016', '#Alepo', '#fotografia']",2,1
eco_canarias,RETWEET: Así se vivió la #Navidad2016 en #Alepo #fotografia https://t.co/I0nxhcvySt,"['#Navidad2016', '#Alepo', '#fotografia']",2,1
adolforomerom,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
Tigrehot26,RETWEET: #Navidad2016 https://t.co/DgOu9uMaUE,['#Navidad2016'],1,1
frangerunet9,RETWEET: #AEstaHora En Milagro Norte con maquinaria pesada y barrido manual llevando Operativo Especial de Limpieza #Navidad2016…,"['#AEstaHora', '#Navidad2016']",9,1
mofligr,"Reciclaje posnavideño
#Navidad2016 https://t.co/xVpqPaoAPN",['#Navidad2016'],0,0
lafotografia,Así se vivió la #Navidad2016 en #Alepo #fotografia https://t.co/I0nxhcvySt,"['#Navidad2016', '#Alepo', '#fotografia']",2,0
frank_rojas01,RETWEET: #AEstaHora En Milagro Norte con maquinaria pesada y barrido manual llevando Operativo Especial de Limpieza #Navidad2016…,"['#AEstaHora', '#Navidad2016']",9,1
EdelmarHuntter,Amigos incondicionales. #Navidad2016 #CaáCatí https://t.co/X3hBogDJed,"['#Navidad2016', '#CaáCatí']",0,0
siciparty,#casahogar #sanjose #equipo USER #compartiéndo #navidad2016 #santaclaus #ninosfelices https://t.co/5XUgG3ovv3,"['#casahogar', '#sanjose', '#equipo', '#compartiéndo', '#navidad2016', '#santaclaus', '#ninosfelices']",0,1
siciparty,#casahogar #sanjose #equipo USER #compartiéndo #navidad2016 #santaclaus #ninosfelices @… https://t.co/dd46kkAV68,"['#casahogar', '#sanjose', '#equipo', '#compartiéndo', '#navidad2016', '#santaclaus', '#ninosfelices']",0,1
Natalia_1981,#Navidad2016 #Christmas https://t.co/Tn2oNMkvbW,"['#Navidad2016', '#Christmas']",0,0
IrsmRaul,#Navidad2016 en está navidad https://t.co/HR2RUdbSwE,['#Navidad2016'],0,0
Mlif61,RETWEET: Feliz #Nochebuena y Feliz Navidad amigos de #Ourense #LucesDeNavidadEnTuCiudad #Navidad2016 https://t.co/LejCoUxWPA USER…,"['#Nochebuena', '#Ourense', '#LucesDeNavidadEnTuCiudad', '#Navidad2016']",14,1
NievesArnaizIME,https://t.co/fyDrWKNnG0  #regalabelleza #tratamientosdebelleza #regalosconencanto #beauty #Navidad2016 https://t.co/G77YSMJL9C,"['#regalabelleza', '#tratamientosdebelleza', '#regalosconencanto', '#beauty', '#Navidad2016']",0,0
angelarchie97,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
1pantonio,RETWEET: #Navidad2016 https://t.co/pduQjqxi2H,['#Navidad2016'],10,1
siciparty,#manualidades #arteypintura #actividadesdivertidas vidadesenelpiso #navidad2016 #ninosfelices #artenelpiso... https://t.co/CqAadWXuZT,"['#manualidades', '#arteypintura', '#actividadesdivertidas', '#navidad2016', '#ninosfelices', '#artenelpiso...']",0,0
El_Distrito,Con Videos:Los bomberos de la Comunidad de Madrid nos desean felices fiestas USER #navidad2016 #bomberos https://t.co/LfwSDwosIR,"['#navidad2016', '#bomberos']",0,1
KingGemaa,Tiempo de calidad con los mejores primos #Navidad2016 https://t.co/24kq5zRH5N,['#Navidad2016'],0,0
InvenciblesAmer,RETWEET: Feliz Navidad a todos nuestros lectores y seguidores #feliz avisad #Navidad #navidades #Navidad2016 https://t.co/rSwyn…,"['#feliz', '#Navidad', '#navidades', '#Navidad2016']",2,1
lilivero702011,RETWEET: #Navidad2016 https://t.co/pduQjqxi2H,['#Navidad2016'],10,1
LorenithaFtv,USER #LoMaximoMBD #Tablet #Navidad2016 USER USER USER USER USER #Vale #Tata https://t.co/s1n35kliRd,"['#LoMaximoMBD', '#Tablet', '#Navidad2016', '#Vale', '#Tata']",0,6
CEInvencibles,RETWEET: Feliz Navidad todos nuestros seguidores y lectores. #feliznavidad #Navidad2016 #NavidadSeTrataDe USER #pp http…,"['#feliznavidad', '#Navidad2016', '#NavidadSeTrataDe', '#pp']",1,2
GMAC_Venezuela,"Feliz Navidad 2016 USER 
¡Celébralo en grande, lleno de esperanza para un venturoso 2017!
#gmac… https://t.co/PSGYUHIuRH",['#gmac'],0,1
JuanUrrego20,#navidad2016 #familia https://t.co/5TvQCMgeLW,"['#navidad2016', '#familia']",0,0
LorenithaFtv,USER #LoMaximoMBD #Navidad2016 #QueremosTablet USER USER USER https://t.co/hDO19I8RZu,"['#LoMaximoMBD', '#Navidad2016', '#QueremosTablet']",0,4
TeamDGOsuna,RETWEET: USER descuibre que se queria llevar en esta #Navidad2016 ¡Chécalo! https://t.co/EZ3CUOoc74 https://t.co/9G7OQFBstk,['#Navidad2016'],14,2
ascardinca,"#Navidad2016 Trata de darte un respiro, relajarte y disfrutar un poco estos días. #EvitaElEstrés USER","['#Navidad2016', '#EvitaElEstrés']",0,1
blasa_estrada,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
LurDCS,Estoy comiendo por encima de mis posibilidades.  #Navidad2016,['#Navidad2016'],0,0
davizueteF,"Disfrutando pequeños momentos, que luego se llevarán en el corazón por siempre! #Navidad2016 https://t.co/TzAzsMqR1i",['#Navidad2016'],0,0
Alesandrini25,Nuestras entregas #Navidad2016 120 #niños de #RíoSanJuan recibieron regalos gracias a la colaboración de amigos de… https://t.co/h5O6e46qiE,"['#Navidad2016', '#niños', '#RíoSanJuan']",0,0
FolkLorca,Una de Pascuas Lorquinas #Lorca #Navidad2016 #pascuas #tradiciones https://t.co/l2sMD4iaWg,"['#Lorca', '#Navidad2016', '#pascuas', '#tradiciones']",0,0
estelapama,"xque se empeñan algunos, Carmena, en eliminar de la Navidad referencias a Jesus de Nazaret? Si ésta se celebra por El. Absurdo #Navidad2016",['#Navidad2016'],0,0
A3Resort,RETWEET: Arbolito del USER #Navidad2016 #A3Resort #Mexico https://t.co/PuF7SXJ6fV,"['#Navidad2016', '#A3Resort', '#Mexico']",1,2
A3Resort,RETWEET: #Navidad2016 #A3Resort #Mexico https://t.co/sp8yve2aDp,"['#Navidad2016', '#A3Resort', '#Mexico']",1,1
SastrePaco,En USER dándonos un homenaje en condiciones!Vaya COCIDO !!Hemos traído a #Miho (made in USER USER )… https://t.co/gWYDk38Xo4,['#Miho'],0,3
IOCarreres,Deslumbra esta #Navidad2016 con el #Blanqueamiento Dental 3x1 por sólo #150€ en el USER #Alicante #Elche… https://t.co/Bf7N1XaUHB,"['#Navidad2016', '#Blanqueamiento', '#150', '#Alicante', '#Elche']",0,1
SOLE62699438,RETWEET: ¡USER quedó enamorada de los ojos de USER y lo quiere para esta #Navidad2016! Esto fue lo que dijo &gt;&gt;https…,['#Navidad2016'],6,3
toniortega2804,RETWEET: Vive la emoción y comparte el video de USER iluminando la #Navidad2016 en Rubielos de Mora https://t.co/14etfR…,['#Navidad2016'],4,2
toniortega2804,RETWEET: Vive la emoción y comparte el video de USER iluminando la #Navidad2016 en Rubielos de Mora https://t.co/IsL…,['#Navidad2016'],6,2
jamiesonboxers,"RETWEET: Los cristianos de #Alepo  en su catedral, celebrando la #Navidad2016  #nochebuena # https://t.co/mUN1D0Igte","['#Alepo', '#Navidad2016', '#nochebuena']",246,1
RitaMontelongo1,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
CienciaFe,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
Arix05,Nuevo vídeo! Link en mi perfil a mi canal! Felices fiestas! #heyariana #arianagodoy #navidad2016… https://t.co/s0AvKuBIG7,"['#heyariana', '#arianagodoy', '#navidad2016']",0,0
DoriLuque,"Muy buen ambiente en el mercado de las asociaciones #Solidaridad #Navidad2016 #Coín (@ Alameda in Coín, Málaga) https://t.co/K4hTS0tsho","['#Solidaridad', '#Navidad2016', '#Coín']",0,0
CandelaRinconMe,#Navidad2016 #A3Resort #Mexico https://t.co/sp8yve2aDp,"['#Navidad2016', '#A3Resort', '#Mexico']",1,0
bebanorfid,mi lokura #niñojesus #mimundo #navidad2016 #24D la amo… https://t.co/2O5Snl5wfL,"['#niñojesus', '#mimundo', '#navidad2016', '#24D']",0,0
CandelaRinconMe,Arbolito del USER #Navidad2016 #A3Resort #Mexico https://t.co/PuF7SXJ6fV,"['#Navidad2016', '#A3Resort', '#Mexico']",1,1
joelmoralesUNT,RETWEET: #AEstaHora En Milagro Norte con maquinaria pesada y barrido manual llevando Operativo Especial de Limpieza #Navidad2016…,"['#AEstaHora', '#Navidad2016']",9,1
CeTelecoUA,"Y otro artículo más, este es sobre la relación y diferencia del deep learning y el machine learning #Navidad2016  https://t.co/1B9iLkUi0c",['#Navidad2016'],0,0
IacomoMorocoima,RETWEET: Por ordenes USER USER  se hace entrega de regalos en esta #Navidad2016 a los niños y niñas de lamas #Se…,"['#Navidad2016', '#Se']",100,3
yagalito,"Que el niño Dios nos de paz, amor y mucha sabiduría! #Navidad2016  #Navidad #CiadeMaria #CompañiadeMaria… https://t.co/8PhMQIZDnW","['#Navidad2016', '#Navidad', '#CiadeMaria', '#CompañiadeMaria']",0,0
edimomesh,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
