Title,Genre,Description,Type,imdbRating
Star Trek VI: The Undiscovered Country,"Action, Adventure, Sci-Fi","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",movie,7.2
North Country,Drama,"A fictionalized account of the first major successful sexual harassment case in the United States -- Jenson vs. Eveleth Mines, where a woman who endured a range of abuse while working as a miner filed and won the landmark 1984 lawsuit.",movie,7.3
Country Strong,"Drama, Music","A rising country-music songwriter works with a fallen star to work their way to fame, causing romantic complications along the way.",movie,6.3
The Big Country,"Romance, Western","A New Englander arrives in the Old West, where he becomes embroiled in a feud between two families over a valuable patch of land.",movie,7.9
Ride the High Country,Western,An ex-union soldier is hired to transport gold from a mining community through dangerous territory. But what he doesn't realize is that his partner and old friend is plotting to double-cross him.,movie,7.6
Diary of a Country Priest,Drama,A young priest taking over the parish at Ambricourt tries to fulfill his duties even as he fights a mysterious stomach ailment.,movie,8.0
Bad Country,"Action, Crime, Drama","When Baton Rouge police detective Bud Carter busts contract killer Jesse Weiland, he convinces Jesse to become an informant and rat out the South's most powerful crime ring. So when the ...",movie,5.8
The Far Country,"Romance, Western",A self-minded adventurer (Jeff Webster) locks horns with a crooked lawman (Mr. Gannon) while driving cattle to Dawson.,movie,7.2
Town & Country,"Comedy, Romance","Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps, some with his wife Ellie, others with longtime friends ...",movie,4.4
Iron Man,"Action, Adventure, Sci-Fi","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",movie,7.9
Iron Man 3,"Action, Adventure, Sci-Fi","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",movie,7.2
Man of Steel,"Action, Adventure, Fantasy","Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",movie,7.1
Spider-Man,"Action, Adventure","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",movie,7.3
Iron Man 2,"Action, Adventure, Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",movie,7.0
The Amazing Spider-Man,"Action, Adventure","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",movie,7.0
Spider-Man 2,"Action, Adventure",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,movie,7.3
Spider-Man 3,"Action, Adventure","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",movie,6.2
Rain Man,Drama,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,movie,8.0
Ant-Man,"Action, Adventure, Comedy","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",movie,7.4
Pretty Woman,"Comedy, Romance","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",movie,6.9
Scent of a Woman,Drama,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",movie,8.0
The Woman in Black,"Drama, Fantasy, Horror",A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.,movie,6.4
The Other Woman,"Comedy, Romance","After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",movie,6.0
Woman in Gold,"Biography, Drama, History","Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family.",movie,7.3
The Woman in Black 2: Angel of Death,"Drama, Horror, Thriller","40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrive, awakening the house's darkest inhabitant.",movie,4.9
The Woman,Horror,"When a successful country lawyer captures and attempts to ""civilize"" the last remaining member of a violent clan that has roamed the Northeast coast for decades, he puts the lives of his family in jeopardy.",movie,6.1
